iter	Logloss
0	0.6852781807
1	0.674755398
2	0.667697914
3	0.6584836629
4	0.6467177798
5	0.6374985282
6	0.6268166802
7	0.61836303
8	0.6089199553
9	0.6015344978
10	0.5953930156
11	0.5871230549
12	0.5818589118
13	0.5770016912
14	0.568936919
15	0.5653324634
16	0.5601207504
17	0.5560236308
18	0.5503366753
19	0.5471009229
20	0.5423632776
21	0.5385678143
22	0.5347405198
23	0.5310982335
24	0.5256763398
25	0.5220545397
26	0.5170976821
27	0.5128762946
28	0.5097051464
29	0.5062678183
30	0.5021958874
31	0.4978266142
32	0.4934515199
33	0.4902126832
34	0.4863881426
35	0.483356207
36	0.4799923859
37	0.4768842984
38	0.4744269721
39	0.4706799593
40	0.4679872322
41	0.4654695416
42	0.4632371317
43	0.4603403528
44	0.4581597232
45	0.4555968474
46	0.4541146706
47	0.4516161529
48	0.4496371307
49	0.4471903496
